,OrdereinstellungenAnzahl,GeschaefteAnzahl,GeschaefteKurswert,OrderloeschungenAnzahl,OrderaenderungenAnzahl,KurswertMedian,OrdereinstellungenWertMedian,MarketMakerAnzahl,ISIN,date
296,52,11,4884.14,0,0,271.0,300,1,CA4196211078,2020-12-01
297,5,1,249.48,0,0,249.48,231,1,DE000LS78KZ6,2020-12-01
298,20,2,1417.0,0,0,737.0,10,1,US93148P1021,2020-12-01
299,13,1,1058.4,0,0,1058.4,1,1,US83417Q1058,2020-12-01
300,2,1,1325.0,0,0,1325.0,5,1,BE0003717312,2020-12-01
301,8,1,2734.0,0,0,2734.0,100,1,CA1350861060,2020-12-01
302,1,1,748.02,0,0,748.02,3,1,LU1681046691,2020-12-01
303,4,3,21972.49,0,0,3062.64,8,1,DE000LS9AJF5,2020-12-01
304,9,2,1359.96,0,0,1130.7,10,1,US09609G1004,2020-12-01
306,6,5,3135.65,0,0,290.0,500,1,DE000LS8DZ85,2020-12-01
307,105,9,114026.66,0,0,5457.6,73,1,IE00B44Z5B48,2020-12-01
308,5,2,6270.0,0,0,5600.0,10000,1,DE000LS764S9,2020-12-01
309,5,2,33808.5,0,0,16920.9,90,1,JE00B1VS3002,2020-12-01
310,11,3,6890.8,0,0,1926.0,50,1,US14147L1089,2020-12-01
311,6,2,1102.0,0,0,739.0,1000,1,DE000A0STST2,2020-12-01
313,2,1,1365.48,0,0,1365.48,6,1,DE000LS9FYT4,2020-12-01
314,107,16,103485.14,0,0,1060.0,237,1,DE000LS8MT17,2020-12-01
315,1,1,39.684,0,0,39.684,1,1,LU0721552973,2020-12-01
316,43,3,47126.225,0,0,9157.482,0,1,LU1681045370,2020-12-01
321,5,1,495.0,0,0,495.0,255,1,CNE100000114,2020-12-01
322,12,3,9317.42,0,0,559.35,3,1,IE00B9M6RS56,2020-12-01
323,43,4,31269.56,0,0,9693.2,1,1,GB0005405286,2020-12-01
324,1,1,6060.0,0,0,6060.0,800,1,LU0967739193,2020-12-01
326,45,10,23324.57,0,0,1613.6,40,1,LU1598757687,2020-12-01
327,28,8,8811.9,0,0,1007.5,125,1,DE000LS8H3M7,2020-12-01
329,3,1,50.4,0,0,50.4,1,1,DE000LS64FD3,2020-12-01
330,1,1,288.0,0,0,288.0,300,1,DE000LS8HV10,2020-12-01
331,30,3,17924.0,0,0,4949.0,1,1,US8765685024,2020-12-01
332,3,1,1938.0,0,0,1938.0,255,1,US8868851028,2020-12-01
