,ISIN,Ordereinstellungen_Anzahl,Geschaefte_Anzahl,Geschaefte_Kurswert,Orderloeschungen_Anzahl,Orderaenderungen_Anzahl,Kurswert_Median,Ordereinstellungen_WertMedian,MarketMaker_Anzahl,date
0,ISIN,Ordereinstellungen_Anzahl,Geschaefte_Anzahl,Geschaefte_Kurswert,Orderloeschungen_Anzahl,Orderaenderungen_Anzahl,Kurswert_Median,Ordereinstellungen_WertMedian,MarketMaker_Anzahl,2022-01-03
5226,LU2059756598,3,2,3337.00,1,0,1668.50,,1,2022-01-03
5227,LU2059756754,1,1,210.08,0,0,,,1,2022-01-03
5228,LU2090062352,1,1,1979.06,0,0,,,1,2022-01-03
5229,LU2130768844,1,1,143.34,0,0,,,1,2022-01-03
5230,NL0009272749,4,2,400.05,2,0,200.02,,1,2022-01-03
5231,NL0009272756,1,1,218.20,0,0,,,1,2022-01-03
5232,NL0009272780,1,1,160.26,0,0,,,1,2022-01-03
5233,US60786M1053,8,5,1880.00,1,0,277.50,,1,2022-01-03
5234,DE000TT8QBC8,1,0,0,0,0,,,1,2022-01-03
5235,DE000TT8QC47,1,1,250.80,0,0,,,1,2022-01-03
5236,DE000TT8QF02,1,1,294.20,0,0,,,1,2022-01-03
5237,DE000TT8QG19,1,1,867.84,0,0,,,1,2022-01-03
5238,DE000TT8QKZ0,1,1,396.00,0,0,,,1,2022-01-03
5239,DE000TT8Y4P8,1,1,1410.00,0,0,,,1,2022-01-03
